,count,percent
Tisha B'Av read,14,0.002036956205441583
Linda Sarsour,14,0.002036956205441583
Joan Nathan,14,0.002036956205441583
Evangelical Christianity,14,0.002036956205441583
USSR,14,0.002036956205441583
Crown Heights,14,0.002036956205441583
dating,14,0.002036956205441583
Saddam Hussein,14,0.002036956205441583
Abraham Joshua Heschel,14,0.002036956205441583
Norman Mailer,14,0.002036956205441583
Hank Greenberg,14,0.002036956205441583
Neo-Nazis,14,0.002036956205441583
climate change,13,0.001891459333624327
Wikileaks,13,0.001891459333624327
Yiddish theater,13,0.001891459333624327
Olympics,13,0.001891459333624327
Ladino,13,0.001891459333624327
Israeli Literature,13,0.001891459333624327
Tu B'Shevat,13,0.001891459333624327
Isaiah,13,0.001891459333624327
The Eichmann Trial,13,0.001891459333624327
Orthodox Union,13,0.001891459333624327
Claude Lanzmann,13,0.001891459333624327
Daniel Estrin,13,0.001891459333624327
Britain,13,0.001891459333624327
Portnoy's Complaint,13,0.001891459333624327
AIPAC 2013,13,0.001891459333624327
Stephen Walt,13,0.001891459333624327
Christianity,13,0.001891459333624327
Africa,13,0.001891459333624327
Vox Tablet,13,0.001891459333624327
Orthodox,13,0.001891459333624327
Steven Spielberg,13,0.001891459333624327
GOP,13,0.001891459333624327
Jimmy Carter,13,0.001891459333624327
Kurdistan,13,0.001891459333624327
Supreme Court,13,0.001891459333624327
Kurds,13,0.001891459333624327
Israeli settlements,13,0.001891459333624327
Camp David,13,0.001891459333624327
Stalin,13,0.001891459333624327
occupation,13,0.001891459333624327
mikveh,13,0.001891459333624327
love,13,0.001891459333624327
Leonard Cohen,13,0.001891459333624327
Kol Nidre,13,0.001891459333624327
Iran Week,13,0.001891459333624327
Henry Kissinger,13,0.001891459333624327
converts,13,0.001891459333624327
peace process,13,0.001891459333624327
Pittsburgh,13,0.001891459333624327
Bernard Malamud,13,0.001891459333624327
God,13,0.001891459333624327
Jonathan Sarna,13,0.001891459333624327
The 100th Anniversary of the Soviet Revolution,13,0.001891459333624327
Mother's Day,13,0.001891459333624327
Amsterdam,12,0.001745962461807071
crime,12,0.001745962461807071
Yale,12,0.001745962461807071
Israeli restaurants,12,0.001745962461807071
Ku Klux Klan,12,0.001745962461807071
Vichy France,12,0.001745962461807071
democracy,12,0.001745962461807071
Sarah Palin,12,0.001745962461807071
Stephen Colbert,12,0.001745962461807071
deborah lipstadt,12,0.001745962461807071
Israeli music,12,0.001745962461807071
Gamal Abdel Nasser,12,0.001745962461807071
rock music,12,0.001745962461807071
medicine,12,0.001745962461807071
assimilation,12,0.001745962461807071
Morocco,12,0.001745962461807071
bagels,12,0.001745962461807071
Museum of Jewish Heritage,12,0.001745962461807071
jewish children's books,12,0.001745962461807071
Atheism,12,0.001745962461807071
Texas,12,0.001745962461807071
Passover Family,12,0.001745962461807071
technology,12,0.001745962461807071
Boycott Divestment and Sanctions,12,0.001745962461807071
classical music,12,0.001745962461807071
Chabad-Lubavitch,12,0.001745962461807071
Liel Leibovitz,12,0.001745962461807071
Exodus,12,0.001745962461807071
Irving Howe,12,0.001745962461807071
graphic memoir,12,0.001745962461807071
graphic art,12,0.001745962461807071
Paris attacks,12,0.001745962461807071
Irving Berlin,12,0.001745962461807071
Martin Buber,12,0.001745962461807071
get,12,0.001745962461807071
Anthony Weiner,12,0.001745962461807071
