,count,percent
palestine liberation organization,26,0.0007617931438617053
rashida tlaib,26,0.0007617931438617053
charity,26,0.0007617931438617053
steven sotloff,26,0.0007617931438617053
nuclear weapons,26,0.0007617931438617053
column,26,0.0007617931438617053
san diego,26,0.0007617931438617053
super bowl,26,0.0007617931438617053
celebrate israel festival,26,0.0007617931438617053
support,26,0.0007617931438617053
zionists,25,0.000732493407559332
rex tillerson,25,0.000732493407559332
ruth bader ginsburg,25,0.000732493407559332
netherlands,25,0.000732493407559332
egypt protest,25,0.000732493407559332
the middle east,25,0.000732493407559332
zionist union,25,0.000732493407559332
iranian jews,25,0.000732493407559332
al jazeera,25,0.000732493407559332
red line,25,0.000732493407559332
venezuela,25,0.000732493407559332
wine,25,0.000732493407559332
steve bannon,25,0.000732493407559332
larry david,25,0.000732493407559332
rabbi shmuley boteach,25,0.000732493407559332
multimedia,25,0.000732493407559332
seder2015,25,0.000732493407559332
atomic,25,0.000732493407559332
paris attacks,25,0.000732493407559332
parliament,25,0.000732493407559332
manhattan,25,0.000732493407559332
joan rivers,25,0.000732493407559332
anti-semite,25,0.000732493407559332
stabbing attack,25,0.000732493407559332
